Species,Species_2,Specimen,Cranial_capacity,Age_in_MA,Age_in_MA_rounded,date2,Source,,notes
Au_afarensis,Au_afarensis,AL 162–28,400,3.18,3.18,3180000,Hawks et al. 2017,,
Au_afarensis,Au_afarensis,AL 288–1,387,3,3,3000000,Hawks et al. 2017,,
Au_afarensis,Au_afarensis,AL 333–45,485,3.18,3.18,3180000,Hawks et al. 2017,,
Au_afarensis,Au_afarensis,AL 333–105,400,3.18,3.18,3180000,Hawks et al. 2017,,
Au_afarensis,Au_afarensis,AL 444–2,550,3,3,3000000,Hawks et al. 2017,,
Au_boisei,Au_boisei,KNM-ER406 ,500,1.5,1.5,1500000,Schoenemann 2013,,
Au_boisei,Au_boisei,KNM-ER407,510,1.85,1.85,1850000,Schoenemann 2013,,
Au_boisei,Au_boisei,KNM-ER732,500,1.7,1.7,1700000,Schoenemann 2013,,
Au_boisei,Au_boisei,KNM-WT 13750,475,1.7,1.7,1700000,Schoenemann 2013,,
Au_boisei,Au_boisei,KGA-10-525,545,1.4,1.4,1400000,Schoenemann 2013,,
Au_boisei,Au_boisei,OH5,520,1.8,1.8,1800000,Schoenemann 2013,,
Au_africanus,Au_africanus,MLD 1,510,3.1,3.1,3100000,Hawks et al. 2017,,
Au_africanus,Au_africanus,MLD 37/38,425,3.1,3.1,3100000,Hawks et al. 2017,,
Au_africanus,Au_africanus,Sts 5,485,2.5,2.5,2500000,Hawks et al. 2017,,
Au_africanus,Au_africanus,Sts 19,436,2.5,2.5,2500000,Hawks et al. 2017,,
Au_africanus,Au_africanus,Sts 60,400,2.5,2.5,2500000,Hawks et al. 2017,,
Au_africanus,Au_africanus,Sts 71,428,2.5,2.5,2500000,Hawks et al. 2017,,
Au_africanus,Au_africanus,StW 505,505,2.6,2.6,2600000,Hawks et al. 2017,,
H_naledi,H_naledi,DH1,560,0.25,0.25,250000,Hawks et al. 2017,,
H_naledi,H_naledi,DH3,465,0.25,0.25,250000,Hawks et al. 2017,,
H_naledi,H_naledi,LES1,610,0.25,0.25,250000,Hawks et al. 2017,,
H_habilis,H_habilis,KNM-ER 1805,582,1.85,1.85,1850000,Hawks et al. 2017,,
H_habilis,H_habilis,KNM-ER 1813,509,1.88,1.88,1880000,Hawks et al. 2017,,
H_habilis,H_habilis,O.H. 7,729,1.8,1.8,1800000,Hawks et al. 2017,,
H_habilis,H_habilis,O.H. 13,650,1.5,1.5,1500000,Hawks et al. 2017,,
H_habilis,H_habilis,O.H. 16,638,1.7,1.7,1700000,Hawks et al. 2017,,
H_habilis,H_habilis,O.H. 24,590,1.8,1.8,1800000,Hawks et al. 2017,,
H_rudolfensis,H_rudolfensis,KNM-ER 1470,752,1.88,1.88,1880000,Hawks et al. 2017,,
H_rudolfensis,H_rudolfensis,KNM-ER 1590,825,1.85,1.85,1850000,Hawks et al. 2017,,
H_rudolfensis,H_rudolfensis,KNM-ER 3732,750,1.88,1.88,1880000,Hawks et al. 2017,,Note Schoenemann 2013 puts this as ergaster
H_erectus,H_erectus,BOU-VP-2/66,995,1,1,1000000,Hawks et al. 2017,,
H_erectus,H_erectus,D2280,730,1.7,1.7,1700000,Hawks et al. 2017,,
H_erectus,H_erectus,D2282,650,1.7,1.7,1700000,Hawks et al. 2017,,
H_erectus,H_erectus,D2700,601,1.7,1.7,1700000,Hawks et al. 2017,,
H_erectus,H_erectus,D3444,625,1.7,1.7,1700000,Hawks et al. 2017,,
H_erectus,H_erectus,D4500,546,1.7,1.7,1700000,Hawks et al. 2017,,
H_erectus,H_erectus,KNM-ER 3733,848,1.78,1.78,1780000,Hawks et al. 2017,,
H_erectus,H_erectus,KNM-ER 3883,804,1.57,1.57,1570000,Hawks et al. 2017,,
H_erectus,H_erectus,KNM-ER 42700,691,1.55,1.55,1550000,Hawks et al. 2017,,
H_erectus,H_erectus,KNM-WT 15000,900,1.5,1.5,1500000,Hawks et al. 2017,,maybe remove since child?
H_erectus,H_erectus,O.H. 9,1067,1.4,1.4,1400000,Hawks et al. 2017,,
H_erectus,H_erectus,O.H. 12,727,.78-1.2,0.99,990000,Hawks et al. 2017,,
H_erectus,H_erectus,Sangiran 2,813,1.5,1.5,1500000,Hawks et al. 2017,,
H_erectus,H_erectus,Sangiran 3,950,1,1,1000000,Schoenemann 2013,,
H_erectus,H_erectus,Sangiran 4,908,1.6,1.6,1600000,Hawks et al. 2017,,
H_erectus,H_erectus,Sangiran 10,855,1.2,1.2,1200000,Schoenemann 2013,,
H_erectus,H_erectus,Sangiran 12,1059,1.1,1.1,1100000,Schoenemann 2013,,
H_erectus,H_erectus,Sangiran 17,1004,1.3,1.3,1300000,Hawks et al. 2017,,
H_erectus,H_erectus,Sangiran IX,845,1.1-1.14,1.25,1250000,Schoenemann 2013,,
H_erectus,H_erectus,Zhoukoudian DI,915,0.58,0.58,580000,Hawks et al. 2017,,
H_erectus,H_erectus,Zhoukoudian LI (10),1225,0.42,0.42,420000,Hawks et al. 2017,,"note in Hawks et al. it is recored as 1025, but source says Lee and Wolpoff which has 1125  as does Schonenemann"
H_erectus,H_erectus,Zhoukoudian LII,1015,0.42,0.42,420000,Hawks et al. 2017,,
H_erectus,H_erectus,Zhoukoudian LIII,1030,0.42,0.42,420000,Hawks et al. 2017,,
H_erectus,H_erectus,Zhoukoudian 5,1140,0.3,0.3,300000,Schoenemann 2013,,
H_erectus,H_erectus,Ngandong 1,1172,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Ngandong 5,1251,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Ngandong 6,1013,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Ngandong 9,1135,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Ngandong 10,1231,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Ngandong 11,1090,.143-.546,0.345,345000,Hawks et al. 2017,,
H_erectus,H_erectus,Trinil,940,0.9,0.9,900000,Hawks et al. 2017,,
H_erectus,H_erectus,UA 31,775,.78-1.0,0.89,890000,Schoenemann 2013,,
H_erectus,H_erectus,Hexian,1025,0.412,0.412,412000,Schoenemann 2013,,
H_erectus,H_erectus,Gongwang 1,780,0.7,0.7,700000,Schoenemann 2013,,
H_erectus,H_erectus,Nanjing 1,876,.580- .620,0.6,600000,Schoenemann 2013,,
H_erectus,H_erectus,Narmada,1260,0.236,0.236,236000,Schoenemann 2013,,
H_erectus,H_erectus,Sale,880,0.24,0.24,240000,Schoenemann 2013,,
H_erectus,H_erectus,Sambungmacan 1,1035,0.8,0.8,800000,Schoenemann 2013,,
H_erectus,H_erectus,Sambungmacan 3,1006,0.4,0.4,400000,Schoenemann 2013,,
H_erectus,H_erectus,Sambungmacan 4,813,0.8,0.8,800000,Schoenemann 2013,,
H_erectus,H_erectus,Yunxian 1,1200,0.4,0.4,400000,Schoenemann 2013,,
H_antecessor,H_antecessor,Atapuerca 4,1390,.53-.6,0.565,565000,Schoenemann 2013,,
