Society,Year,Type_of_Society,Time_Type,Military_Status,Population,Overall_War_Group_Size_W,X_(W),LNP,LNW,W.P,X (W),
Afghanistan,2014,State,Contemporary,1,27101365,331100,0.874649053,17.11509465,12.71017572,0.0122,0.874649053,0.881594775
Albania,2014,State,Contemporary,0,2893005,19750,0.816681849,14.87780631,9.89090877,0.0068,0.816681849,0.846401651
Algeria,2014,State,Contemporary,1,39500000,423500,0.869883295,17.49181123,12.95630879,0.0107,0.869883295,0.873572971
Angola,2014,State,Contemporary,0,24383301,117000,0.81892644,17.00940907,11.66992921,0.0048,0.81892644,0.825767492
Antigua and Barbuda,2014,State,Contemporary,0,86295,245,0.682835372,11.36552694,5.501258211,0.0028,0.682835372,0.795983147
Argentina,2014,State,Contemporary,0,43131966,104340,0.785842579,17.57977495,11.55541008,0.0024,0.785842579,0.787112597
Australia,2014,State,Contemporary,0,23847700,80362,0.797884504,16.98719833,11.29429671,0.0034,0.797884504,0.80558903
Bahamas,2014,State,Contemporary,0,377374,860,0.702162106,12.84099202,6.756932389,0.0023,0.702162106,0.783830385
Barbados,2014,State,Contemporary,0,285000,1040,0.732987453,12.56024446,6.946975992,0.0036,0.732987453,0.810092183
Belgium,2014,State,Contemporary,0,11248330,35736,0.784900912,16.23573023,10.48391386,0.0032,0.784900912,0.802273596
Belize,2014,State,Contemporary,0,358899,1750,0.760460604,12.79079629,7.467371067,0.0049,0.760460604,0.826696035
Benin,2014,State,Contemporary,0,10315244,7250,0.690333165,16.14913336,8.888756748,0.0007,0.690333165,0.721873882
Bhutan,2014,State,Contemporary,0,763200,9000,0.839001432,13.5452754,9.104979856,0.0118,0.839001432,0.879414327
Bolivia,2014,State,Contemporary,0,11410651,83200,0.836214149,16.25005778,11.32900263,0.0073,0.836214149,0.850311687
Bosnia and Herzegovina,2014,State,Contemporary,0,3791622,10500,0.760392437,15.14830445,9.259130536,0.0028,0.760392437,0.794596669
Botswana,2014,State,Contemporary,0,2056000,10500,0.792407807,14.53627291,9.259130536,0.0051,0.792407807,0.829378704
Bulgaria,2014,State,Contemporary,0,7202198,355600,0.952576674,15.78989682,12.78156178,0.0494,0.952576674,0.972133736
Burkina Faso,2014,State,Contemporary,0,18450494,11450,0.693655304,16.7306017,9.345745009,0.0006,0.693655304,0.715611136
Burundi,2014,State,Contemporary,0,9823827,51050,0.813653726,16.10032132,10.84056082,0.0052,0.813653726,0.830388446
Cambodia,2014,State,Contemporary,0,15405157,191300,0.871355786,16.55021288,12.16159816,0.0124,0.871355786,0.88260151
Cameroon,2014,State,Contemporary,0,21143237,23100,0.729663667,16.86683065,10.0475879,0.0011,0.729663667,0.744512653
Canada,2014,State,Contemporary,0,35750600,147500,0.814227568,17.39207761,11.90158345,0.0041,0.814227568,0.81708428
Cape Verde,2014,State,Contemporary,0,518467,1200,0.710529991,13.15863166,7.090076836,0.0023,0.710529991,0.784681582
Chile,2014,State,Contemporary,0,18006407,143771,0.84612122,16.7062382,11.87597703,0.008,0.84612122,0.855733124
Costa Rica,2014,State,Contemporary,0,4773130,9800,0.74452344,15.37851283,9.190137665,0.0021,0.74452344,0.778127639
Cote D'Ivoire,2014,State,Contemporary,0,22671331,28550,0.739164245,16.93661173,10.25941222,0.0013,0.739164245,0.751952297
Czech Republic,2014,State,Contemporary,0,10537818,26750,0.770157382,16.17048106,10.19428975,0.0025,0.770157382,0.789771323
Dominican Republic,2014,State,Contemporary,0,10652000,39500,0.793731944,16.18125823,10.58405595,0.0037,0.793731944,0.811003752
Ecuador,2014,State,Contemporary,0,15539000,176983,0.866202836,16.55886355,12.08380896,0.0114,0.866202836,0.877277193
Equatorial Guinea,2014,State,Contemporary,0,1430000,3320,0.731469014,14.173185,8.107720062,0.0023,0.731469014,0.784851306
Fiji,2014,State,Contemporary,0,859178,9500,0.835684803,13.6637314,9.159047078,0.0111,0.835684803,0.875459536
Gabon,2014,State,Contemporary,0,1751000,6700,0.770007043,14.37569761,8.809862805,0.0038,0.770007043,0.812786446
Gambia,2014,State,Contemporary,0,1849000,800,0.619822657,14.43015551,6.684611728,0.0004,0.619822657,0.697769432
Germany,2014,State,Contemporary,0,81083600,220996,0.799815082,18.21099128,12.30589988,0.0027,0.799815082,0.793711819
Ghana,2014,State,Contemporary,0,27043093,15500,0.69585468,17.11294219,9.648595303,0.0006,0.69585468,0.711640251
Guinea,2014,State,Contemporary,0,10628972,19300,0.749571388,16.17909404,9.867860375,0.0018,0.749571388,0.77146437
Guinea-Bissau,2014,State,Contemporary,0,1788000,6450,0.766247218,14.39660823,8.77183541,0.0036,0.766247218,0.809440078
Guyana,2014,State,Contemporary,0,746900,3270,0.765476987,13.52368659,8.092545264,0.0044,0.765476987,0.820486077
Haiti,2014,State,Contemporary,0,10911819,2000,0.608467189,16.20535707,7.60090246,0.0002,0.608467189,0.657053091
Honduras,2014,State,Contemporary,0,8725111,80000,0.847800557,15.98171575,11.28978191,0.0092,0.847800557,0.864059359
Hungary,2014,State,Contemporary,0,9849000,78587,0.840314699,16.10288049,11.27196157,0.008,0.840314699,0.855693725
Iceland,2014,State,Contemporary,0,330610,230,0.60569595,12.70869471,5.438079309,0.0007,0.60569595,0.721356729
Ireland,2014,State,Contemporary,0,4609600,13871,0.768857472,15.34365164,9.537555609,0.003,0.768857472,0.799231082
Italy,2014,State,Contemporary,0,60788845,379138,0.842785873,17.92291686,12.84565553,0.0062,0.842785873,0.841064664
Jamaica,2014,State,Contemporary,0,2717991,3783,0.708573221,14.81540356,8.238272625,0.0014,0.708573221,0.757238057
Japan,2014,State,Contemporary,0,126865000,317913,0.800115302,18.65863409,12.66953304,0.0025,0.800115302,0.789057953
Kazakhstan,2014,State,Contemporary,0,17519000,80500,0.812740776,16.67879656,11.29601246,0.0046,0.812740776,0.823268133
Kenya,2014,State,Contemporary,0,46749000,29120,0.70999381,17.66030342,10.2791805,0.0006,0.70999381,0.715798161
Kosovo,2014,State,Contemporary,0,1827231,3300,0.71861416,14.41831226,8.101677747,0.0018,0.71861416,0.771172747
Kyrgyzstan,2014,State,Contemporary,0,5944400,20400,0.781051859,15.59796016,9.92329018,0.0034,0.781051859,0.806617784
Latvia,2014,State,Contemporary,0,1980700,15266,0.820259405,14.49896088,9.633383412,0.0077,0.820259405,0.853620241
Lesotho,2014,State,Contemporary,0,2120000,2000,0.676905177,14.56692665,7.60090246,0.0009,0.676905177,0.736902158
Liberia,2014,State,Contemporary,0,4503000,2400,0.655521074,15.3202544,7.783224016,0.0005,0.655521074,0.708028755
Lithuania,2014,State,Contemporary,0,2904391,31940,0.848768012,14.88173429,10.37161442,0.011,0.848768012,0.875126499
Luxembourg,2014,State,Contemporary,0,562958,1512,0.723566414,13.2409603,7.321188557,0.0027,0.723566414,0.79289659
Madagascar,2014,State,Contemporary,0,24235000,21600,0.719858388,17.00330843,9.980448594,0.0009,0.719858388,0.733976235
Malawi,2014,State,Contemporary,0,16310431,6800,0.667428975,16.6073154,8.824677891,0.0004,0.667428975,0.695960002
Mali,2014,State,Contemporary,0,16259000,15150,0.715801549,16.60415716,9.625755811,0.0009,0.715801549,0.736264014
Malta,2014,State,Contemporary,0,445426,2127,0.762832041,13.00678641,7.662467815,0.0048,0.762832041,0.825487842
Mauritania,2014,State,Contemporary,0,3631775,20870,0.808037477,15.10523207,9.946068,0.0057,0.808037477,0.836256469
Mauritius,2014,State,Contemporary,0,1261208,2000,0.701930701,14.04758055,7.60090246,0.0016,0.701930701,0.764184581
Mozambique,2014,State,Contemporary,0,25727911,11200,0.678845198,17.06308699,9.323669057,0.0004,0.678845198,0.698068753
Namibia,2014,State,Contemporary,0,2280700,15200,0.812061613,14.63999297,9.629050707,0.0067,0.812061613,0.844978246
Nepal,2014,State,Contemporary,0,28037904,157753,0.829684244,17.14906787,11.9687858,0.0056,0.829684244,0.835021179
Netherlands,2014,State,Contemporary,0,16913200,46500,0.781485336,16.64360494,10.74720759,0.0027,0.781485336,0.794195001
New Zealand,2014,State,Contemporary,0,4603730,11951,0.759210619,15.3423774,9.388570236,0.0026,0.759210619,0.791009792
Nicaragua,2014,State,Contemporary,0,6134270,12000,0.745529983,15.62940164,9.392661929,0.002,0.745529983,0.775497731
